Graph,Machine,Algorithm,TimeToCompute(ms),BspCost,CommCost,Supersteps,WorkCost,avg_wavefront_size,num_edges,num_vertices
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask3,693,1665,1228,5,437,584.500000,10592,4676
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask7,1520,1665,1228,5,437,584.500000,10592,4676
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask2,560,1685,1252,5,433,584.500000,10592,4676
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask4,999,1965,1664,7,301,584.500000,10592,4676
nltcs.psdd,p16_g4_l20,GreedyBspHC,374,2005,1704,7,301,584.500000,10592,4676
bodyy4,p16_g4_l20,GreedyRecomputerMask0,638,12683,7816,120,4867,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyRecomputerMask1,760,12648,7776,120,4872,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyRecomputerMask3,1803,12363,7320,98,5043,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyRecomputerMask7,7466,12276,7188,97,5088,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyRecomputerMask2,1795,12386,7356,98,5030,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyRecomputerMask4,2846,12666,7768,120,4898,25.209770,52196,17546
bodyy4,p16_g4_l20,GreedyBspHC,417,14124,9260,120,4864,25.209770,52196,17546
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask0,1043,2187,1760,6,427,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask1,1433,1701,1112,6,589,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask3,1561,1583,648,4,935,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask7,2530,1583,648,4,935,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask2,1208,1583,648,4,935,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyRecomputerMask4,1436,2187,1760,6,427,1336.400000,8926,6682
msnbc-yitao-a.psdd,p16_g4_l20,GreedyBspHC,954,2187,1760,6,427,1336.400000,8926,6682
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask0,0,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask1,0,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask3,0,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask7,1,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask2,0,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyRecomputerMask4,0,4,0,1,4,7.000000,3,7
simple2.2.psdd,p16_g4_l20,GreedyBspHC,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask0,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask1,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask3,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask7,1,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask2,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyRecomputerMask4,0,4,0,1,4,7.000000,3,7
simple2.3.psdd,p16_g4_l20,GreedyBspHC,0,4,0,1,4,7.000000,3,7
bcsstk38,p16_g4_l20,GreedyRecomputerMask0,16295,82968,19260,337,63708,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyRecomputerMask1,16583,82817,19080,337,63737,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyRecomputerMask3,17649,81563,17836,277,63727,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyRecomputerMask7,26020,81532,17812,277,63720,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyRecomputerMask2,17630,81741,18048,277,63693,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyRecomputerMask4,22722,82895,19188,336,63707,3.681027,173714,8032
bcsstk38,p16_g4_l20,GreedyBspHC,15792,90242,26456,421,63786,3.681027,173714,8032
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask0,2161,4116,3132,13,984,730.476190,40736,15340
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask1,2650,3719,2616,13,1103,730.476190,40736,15340
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask3,3319,3446,1724,9,1722,730.476190,40736,15340
